PS C:\iverilog\bin> .\vvp.exe .\elevator_sim
VCD info: dumpfile elevator_wave.vcd opened for output.
---------------------------------------------------------------------------------------------------------------------------
Time(s)| CLK | SW_Fl | Opn | Cls | Floor | Door_Q (1=Opn) | Count | Door_LED (0=ON)
 113   |  1  |  00   |  0  |  0  |   0   |       0        |   0   |    0
 114   |  0  |  00   |  0  |  0  |   0   |       0        |   0   |    0
 115   |  1  |  00   |  0  |  0  |   0   |       0        |   0   |    0
 116   |  0  |  00   |  0  |  0  |   0   |       0        |   0   |    0
 117   |  1  |  00   |  0  |  0  |   0   |       0        |   0   |    0
 118   |  0  |  00   |  0  |  0  |   0   |       0        |   0   |    0
 119   |  1  |  00   |  0  |  0  |   0   |       0        |   0   |    0
 120   |  0  |  00   |  0  |  0  |   0   |       0        |   0   |    0
 121   |  1  |  00   |  0  |  0  |   0   |       0        |   0   |    0
 122   |  0  |  00   |  0  |  0  |   0   |       0        |   0   |    0
 123   |  1  |  00   |  0  |  0  |   0   |       0        |   0   |    0
 124   |  0  |  00   |  0  |  0  |   0   |       0        |   0   |    0
 125   |  1  |  00   |  0  |  0  |   0   |       0        |   0   |    0
 126   |  0  |  00   |  0  |  0  |   0   |       0        |   0   |    0
 127   |  0  |  10   |  0  |  0  |   0   |       0        |   0   |    0
 127   |  1  |  10   |  0  |  0  |   1   |       0        |   0   |    0
 128   |  0  |  10   |  0  |  0  |   1   |       0        |   0   |    0
 129   |  1  |  10   |  0  |  0  |   2   |       1        |   0   |    1
 130   |  0  |  10   |  0  |  0  |   2   |       1        |   0   |    1
 131   |  1  |  10   |  0  |  0  |   2   |       1        |   1   |    1
 132   |  0  |  10   |  0  |  0  |   2   |       1        |   1   |    1
 133   |  1  |  10   |  0  |  0  |   2   |       1        |   2   |    1
 134   |  0  |  10   |  0  |  0  |   2   |       1        |   2   |    1
 135   |  1  |  10   |  0  |  0  |   2   |       0        |   0   |    0
 136   |  0  |  10   |  0  |  0  |   2   |       0        |   0   |    0
 137   |  1  |  10   |  0  |  0  |   2   |       0        |   0   |    0
 138   |  0  |  10   |  0  |  0  |   2   |       0        |   0   |    0
 139   |  1  |  10   |  0  |  0  |   2   |       0        |   0   |    0
 140   |  0  |  10   |  0  |  0  |   2   |       0        |   0   |    0
 141   |  1  |  10   |  0  |  0  |   2   |       0        |   0   |    0
 142   |  0  |  10   |  0  |  0  |   2   |       0        |   0   |    0
 143   |  0  |  11   |  0  |  0  |   2   |       0        |   0   |    0
 143   |  1  |  11   |  0  |  0  |   3   |       1        |   0   |    1
 144   |  0  |  11   |  0  |  0  |   3   |       1        |   0   |    1
 145   |  1  |  11   |  0  |  0  |   3   |       1        |   1   |    1
 146   |  1  |  11   |  0  |  1  |   3   |       0        |   0   |    0
 146   |  0  |  11   |  0  |  1  |   3   |       0        |   0   |    0
 147   |  1  |  11   |  0  |  1  |   3   |       0        |   0   |    0
 148   |  1  |  11   |  0  |  0  |   3   |       0        |   0   |    0
 148   |  0  |  11   |  0  |  0  |   3   |       0        |   0   |    0
 149   |  1  |  11   |  0  |  0  |   3   |       0        |   0   |    0
 150   |  0  |  11   |  0  |  0  |   3   |       0        |   0   |    0
 151   |  1  |  11   |  0  |  0  |   3   |       0        |   0   |    0
 152   |  0  |  11   |  0  |  0  |   3   |       0        |   0   |    0
 153   |  0  |  11   |  1  |  0  |   3   |       0        |   0   |    1
 153   |  1  |  11   |  1  |  0  |   3   |       0        |   1   |    1
 154   |  0  |  11   |  1  |  0  |   3   |       0        |   1   |    1
 155   |  1  |  11   |  1  |  0  |   3   |       0        |   2   |    1
 156   |  0  |  11   |  1  |  0  |   3   |       0        |   2   |    1
 157   |  1  |  11   |  1  |  0  |   3   |       0        |   3   |    1
 158   |  0  |  11   |  1  |  0  |   3   |       0        |   3   |    1
 159   |  0  |  11   |  0  |  0  |   3   |       0        |   0   |    0
 159   |  1  |  11   |  0  |  0  |   3   |       0        |   0   |    0
 160   |  0  |  11   |  0  |  0  |   3   |       0        |   0   |    0
 161   |  1  |  11   |  0  |  0  |   3   |       0        |   0   |    0
 162   |  0  |  11   |  0  |  0  |   3   |       0        |   0   |    0
 163   |  1  |  11   |  0  |  0  |   3   |       0        |   0   |    0
 164   |  0  |  11   |  0  |  0  |   3   |       0        |   0   |    0
 165   |  1  |  11   |  0  |  0  |   3   |       0        |   0   |    0
 166   |  0  |  11   |  0  |  0  |   3   |       0        |   0   |    0
 167   |  1  |  11   |  0  |  0  |   3   |       0        |   0   |    0
 168   |  0  |  11   |  0  |  0  |   3   |       0        |   0   |    0
